NAME,PHONE,WEBSITE,CITY/STATE,RATING,REVIEWS,ADDRESS
Magic Touch Holiday Lighting,(602) 919-9730,http://www.magictouchlighting.com/,"Phoenix, AZ",5,4,"3411 E Corona Ave Suite 107, Phoenix, AZ 85040, United States"
Arizona Event & Holiday Lighting,(602) 793-5791,https://azeventandholidaylighting.com/,"Phoenix, AZ",5,4,"6205 W North Ln, Glendale, AZ 85302, United States"
Cox Family Lights,(480) 204-6397,N/A,"Phoenix, AZ",4.8,20,"8607 E Vía Del Palacio, Scottsdale, AZ 85258, United States"
Glendale Glitters,(623) 930-2299,http://www.glendaleaz.com/,"Phoenix, AZ",4.2,4157,"N 58th Ave & W Glendale Ave, 5800 W Glenn Dr, Glendale, AZ 85301, United States"
Custom Holiday Lights,(480) 675-0151,https://customholidaylights.com/,"Phoenix, AZ",5,1,"15855 N Greenway Hayden Loop #130, Scottsdale, AZ 85260, United States"
HLC Productions,(602) 431-2253,http://www.hlcaz.com/,"Phoenix, AZ",4.3,6,"4016 E Broadway Rd, Phoenix, AZ 85040, United States"
The Festival of Lights,(480) 270-4365,http://www.folaz.org/,"Phoenix, AZ",4.3,14,"1010 E Marketplace Wy SE, Phoenix, AZ 85048, United States"
"City Lights, Inc",(602) 233-2552,https://www.citylightsusa.com/,"Phoenix, AZ",4.8,173,"3911 W Van Buren St #3, Phoenix, AZ 85009, United States"
AZ Christmas Light Tour Blasian,(602) 466-3351,https://www.azchristmaslighttour.com/,"Phoenix, AZ",4.8,4,"2323 E Magnolia St Suit 124, Phoenix, AZ 85034, United States"
Phoenix Winter Wonderland,(623) 937-3482,http://phoenixwinterwonderland.com/,"Phoenix, AZ",4.7,124,"4237 W State Ave, Phoenix, AZ 85051, United States"
Desert Christmas Lighting,(602) 691-7931,https://desertchristmaslighting.com/,"Phoenix, AZ",5,7,"2015 W Union Hills Dr, Phoenix, AZ 85027, United States"
PHX LIGHT,(623) 400-2034,https://phxlight.com/,"Phoenix, AZ",0,0,"10052 W Foothill Dr, Peoria, AZ 85383, United States"
Spirit Lighting,(602) 535-2600,http://spiritlightingaz.com/,"Phoenix, AZ",5,1,"3914 E Roeser Rd, Phoenix, AZ 85040, United States"
Level 5 Lighting,(602) 643-5922,https://level5lighting.com/,"Phoenix, AZ",5,185,"221 E Willis Rd Suite 18, Chandler, AZ 85286, United States"
"Holiday Helpers, LLC",(480) 313-3094,http://holidayhelpers-az.com/,"Phoenix, AZ",0,0,"3145 E Chandler Blvd, Phoenix, AZ 85048, United States"
Valor Christmas- Formally Lights at the Farm,(480) 719-6520,https://arizonachristmaslights.com/,"Phoenix, AZ",4.3,157,"3015 E Warner Rd, Gilbert, AZ 85296, United States"
Dyker Heights Christmas Lights,(855) 395-3754,https://www.dykerheightschristmaslights.com/,"New York, NY",4.7,2177,"1072 80th St 1st. Floor, Brooklyn, NY 11228, United States"
Christmas Lights R Us Of Manhattan,(332) 230-9342,N/A,"New York, NY",5,1,"505 Columbus Ave #793, New York, NY 10024, United States"
House of Holiday,(833) 353-4357,http://www.houseofholiday.com/,"New York, NY",4.5,399,"90-02 Atlantic Ave, Ozone Park, NY 11416, United States"
Christmas in New York - Little Italy,(212) 693-1600,https://christmasandcity.com/,"New York, NY",4.4,986,"142 Mulberry St, New York, NY 10013, United States"
MR HOLIDAYS LIGHTING,(516) 581-9336,http://www.mrholidayslighting.com/,"New York, NY",4.7,44,"534 Merrick Rd Suite E, Lynbrook, NY 11563, United States"
Christmas Lights Pros of New York,(347) 486-3173,N/A,"New York, NY",5,5,"344 E 78th St, New York, NY 10075, United States"
Foundry Lighting,(212) 759-9332,https://www.foundrylighting.com/,"New York, NY",4.5,168,"225 E 58th St, New York, NY 10022, United States"
Christmas Cottage,(212) 333-7380,http://christmascottage.com/,"New York, NY",4.3,143,"833 7th Ave, New York, NY 10019, United States"
Thunder Lighting Supply,(631) 803-9627,https://thunderlightingsupply.com/,"New York, NY",5,62,"162 Ocean Ave, Lindenhurst, NY 11757, United States"
Available Light of New York,(718) 707-9670,http://www.alny.net/,"New York, NY",4.5,27,"2920 37th Ave, Long Island City, NY 11101, United States"
Lendy Electric's Lighting Showroom,(212) 431-3880,N/A,"New York, NY",4.2,12,"137 Bowery, New York, NY 10002, United States"
Riverhead Holiday Light Show,(631) 210-6711,http://riverheadlightshow.com/,"New York, NY",4.1,613,"2549 Splish Splash Dr, Calverton, NY 11933, United States"
We Hang Christmas Lights,(646) 342-9036,https://www.wehangchristmaslightsny.com/,"New York, NY",5,1,"50-47 45th St, Woodside, NY 11377, United States"
Holiday Lights of Long Island,(631) 260-1420,https://holidaylightslongisland.com/,"New York, NY",5,11,"6318 Jericho Turnpike, Commack, NY 11725, United States"
Holly Jolly Holiday Hangers,(516) 815-9688,https://www.hollyjollyholidayhangers.com/,"New York, NY",5,40,"1750 Washington Dr, Merrick, NY 11566, United States"
The Long Island Holiday Lighting Co | Christmas Light Installations,(631) 203-6848,https://www.theliholidaylightingcompany.com/,"New York, NY",5,25,"28 Westminster Ct S, Nesconset, NY 11767, United States"
Visual Comfort & Co.,(212) 725-2500,https://www.visualcomfort.com/manhattan/,"New York, NY",4.7,54,"200 Lexington Ave #101, New York, NY 10016, United States"
Hi-Light Lighting & Vanities,(914) 779-6628,https://hilight.com/,"New York, NY",4.8,266,"2455 Central Park Ave, Yonkers, NY 10710, United States"
Union Square Holiday Market,(212) 529-9262,http://www.usqholiday.nyc/,"New York, NY",4.5,2813,"E 14th St, New York, NY 10011, United States"
