NAME,ADDRESS,RATING,PHONE,WEBSITE,CITY,STATE,REVIEWS
Lights Alive! Drive Thru Christmas Lights (Houston),"12300 N Fwy Service Rd, Houston, TX 77060, United States",4.4,N/A,http://seelightsalive.com/,Houston,TX,23
The Light Park - Katy,"555 Katy Fort Bend Rd Parking Lot, Katy, TX 77494, United States",4.4,N/A,https://www.thelightpark.com/,Houston,TX,574
Enchanted Lights Halloween Drive Thru (Houston),"12300 N Fwy Service Rd, Houston, TX 77060, United States",4.9,N/A,http://enchantedlights.com/,Houston,TX,48
Holiday Lights Phoenix,"6505 W Frye Rd # 16, Chandler, AZ 85226, United States",4.9,(480) 531-9780,http://holidaylightsphx.com/,Phoenix,AZ,51
Holiday Light Co,"720 N Golden Key St C4, Gilbert, AZ 85233, United States",5,(602) 478-9410,https://www.holidaylightco.com/,Phoenix,AZ,160
Holiday Lights Decorating,"2625 E University Dr, Phoenix, AZ 85034, United States",4.2,(602) 692-4668,http://holidaylightsdecorating.com/,Phoenix,AZ,9
Valley Christmas Lights,"7301 N 16th St Suite 102, Phoenix, AZ 85020, United States",4.7,(602) 932-0765,https://valleychristmaslights.com/?utm_source=gmb&utm_medium=organic&utm_campaign=Phoenix,Phoenix,AZ,27
Stay Off the Roof,"4602 E Elwood St #5, Phoenix, AZ 85040, United States",4.9,(480) 567-7088,https://stayofftheroof.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=Phoenix,Phoenix,AZ,222
H&B Holiday Lighting,"26207 N 83rd Dr, Peoria, AZ 85383, United States",5,(602) 698-9298,https://handbholidaylighting.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,Phoenix,AZ,34
Magic Touch Holiday Lighting,"3411 E Corona Ave Suite 107, Phoenix, AZ 85040, United States",5,(602) 919-9730,http://www.magictouchlighting.com/,Phoenix,AZ,4
North Phoenix Lights,"18639 N 1st Ave, Phoenix, AZ 85027, United States",4.4,N/A,http://northphoenixlights.com/,Phoenix,AZ,64
Miracle on 34th Lane Christmas Lights Display,"22415 N 34th Ln, Phoenix, AZ 85027, United States",4.9,N/A,https://m.facebook.com/1452620738140511/,Phoenix,AZ,34
Arizona Event & Holiday Lighting,"6205 W North Ln, Glendale, AZ 85302, United States",5,(602) 793-5791,https://azeventandholidaylighting.com/,Phoenix,AZ,4
Cox Family Lights,"8607 E Vía Del Palacio, Scottsdale, AZ 85258, United States",4.8,(480) 204-6397,N/A,Phoenix,AZ,20
Glendale Glitters,"N 58th Ave & W Glendale Ave, 5800 W Glenn Dr, Glendale, AZ 85301, United States",4.2,(623) 930-2299,http://www.glendaleaz.com/,Phoenix,AZ,4157
Custom Holiday Lights,"15855 N Greenway Hayden Loop #130, Scottsdale, AZ 85260, United States",5,(480) 675-0151,https://customholidaylights.com/,Phoenix,AZ,1
HLC Productions,"4016 E Broadway Rd, Phoenix, AZ 85040, United States",4.3,(602) 431-2253,http://www.hlcaz.com/,Phoenix,AZ,6
The Festival of Lights,"1010 E Marketplace Wy SE, Phoenix, AZ 85048, United States",4.3,(480) 270-4365,http://www.folaz.org/,Phoenix,AZ,14
"City Lights, Inc","3911 W Van Buren St #3, Phoenix, AZ 85009, United States",4.8,(602) 233-2552,https://www.citylightsusa.com/,Phoenix,AZ,173
AZ Christmas Light Tour Blasian,"2323 E Magnolia St Suit 124, Phoenix, AZ 85034, United States",4.8,(602) 466-3351,https://www.azchristmaslighttour.com/,Phoenix,AZ,4
Phoenix Winter Wonderland,"4237 W State Ave, Phoenix, AZ 85051, United States",4.7,(623) 937-3482,http://phoenixwinterwonderland.com/,Phoenix,AZ,124
Desert Christmas Lighting,"2015 W Union Hills Dr, Phoenix, AZ 85027, United States",5,(602) 691-7931,https://desertchristmaslighting.com/,Phoenix,AZ,7
PHX LIGHT,"10052 W Foothill Dr, Peoria, AZ 85383, United States",0,(623) 400-2034,https://phxlight.com/,Phoenix,AZ,0
Spirit Lighting,"3914 E Roeser Rd, Phoenix, AZ 85040, United States",5,(602) 535-2600,http://spiritlightingaz.com/,Phoenix,AZ,1
Level 5 Lighting,"221 E Willis Rd Suite 18, Chandler, AZ 85286, United States",5,(602) 643-5922,https://level5lighting.com/,Phoenix,AZ,185
"Holiday Helpers, LLC","3145 E Chandler Blvd, Phoenix, AZ 85048, United States",0,(480) 313-3094,http://holidayhelpers-az.com/,Phoenix,AZ,0
"World of Illumination - Tempe, AZ","2200 W Alameda Dr, Tempe, AZ 85282, United States",4.5,N/A,http://www.worldofillumination.com/,Phoenix,AZ,3870
Winter Wonderland (Dec 7th-Jan 2nd),"8414 E Valley Vista Dr, Scottsdale, AZ 85250, United States",4.9,N/A,N/A,Phoenix,AZ,388
Valor Christmas- Formally Lights at the Farm,"3015 E Warner Rd, Gilbert, AZ 85296, United States",4.3,(480) 719-6520,https://arizonachristmaslights.com/,Phoenix,AZ,157
Elite Lighting Designs Inc.,"8442 Gault Ln, San Antonio, TX 78209, United States",4.9,(210) 573-0594,https://elitelightingdesigns.com/,San Antonio,TX,52
Norland Street Christmas Lights,"13511 Norland St, San Antonio, TX 78232, United States",4.7,N/A,N/A,San Antonio,TX,20
Astoria Lighting Co - San Antonio,"2638 Kerrybrook Ct Suite 104, San Antonio, TX 78230, United States",5,(726) 800-6843,https://astorialightingco.com/,San Antonio,TX,97
Old West Christmas Light Fest,"242 TX-46 Unit C, Boerne, TX 78006, United States",4,(830) 215-0686,https://christmaslightfest.com/,San Antonio,TX,80
Lightscape,"555 Funston Pl, San Antonio, TX 78209, United States",3.1,N/A,https://www.sabot.org/light-scape/,San Antonio,TX,76
Outdoor Lighting Company San Antonio,"20403 Encino Ledge #591263, San Antonio, TX 78259, United States",5,(210) 602-7100,http://www.olcpro.com/,San Antonio,TX,5
Lighting Inc.,"2802 N Loop 1604 W, San Antonio, TX 78248, United States",4.2,(210) 541-8500,https://www.lightinginc.com/,San Antonio,TX,80
Windcrest Light Up,"Windcrest, TX 78239, United States",4.5,(210) 655-0022,https://www.sanantoniothingstodo.com/christmas-lights-in-windcrest-san-antonio-holiday-light-up/,San Antonio,TX,80
Lights Alive,"6815 Roft Rd, San Antonio, TX 78253, United States",4.9,N/A,https://seelightsalive.com/,San Antonio,TX,13
The Perfect Light,"943 Clydeville Rd, San Antonio, TX 78216, United States",4.8,(210) 920-7777,https://theperfectlight.com/,San Antonio,TX,51
Elf Acres Christmas light park,"1475 Grosenbacher Rd, San Antonio, TX 78245, United States",4.4,N/A,https://www.elfacres.com/,San Antonio,TX,805
Hudson Street Lighting San Antonio,"10707 Lake Path Dr, San Antonio, TX 78217, United States",5,(210) 571-1411,https://hudsonstreetlighting.com/locations/texas/san-antonio-outdoor-lighting-company/,San Antonio,TX,4
"Holiday Inn San Antonio-Riverwalk, an IHG Hotel","217 N St Mary's St, San Antonio, TX 78205, United States",4.2,(210) 224-2500,https://www.ihg.com/holidayinn/hotels/us/en/san-antonio/satrw/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-SATRW,San Antonio,TX,2603
Glo Geeks Landscape Lighting Installation,"30425 Smithson Valley Rd, San Antonio, TX 78261, United States",5,(210) 893-2356,https://glogeeks.com/?utm_source=organic&utm_medium=gmb,San Antonio,TX,49
Stevens Lighting,"10215 McCullough Ave, San Antonio, TX 78216, United States",4.5,(210) 344-8400,http://www.stevenslighting.com/,San Antonio,TX,35
"Holiday Inn Express & Suites San Antonio-Dtwn Market Area, an IHG Hotel","102 El Paso St, San Antonio, TX 78204, United States",3.8,(210) 277-1000,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-antonio/satep/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-SATEP,San Antonio,TX,1377
Turney Lighting & Electric,"2501 Northwest Loop 410 Suite B, San Antonio, TX 78230, United States",3.7,(210) 308-9966,https://www.turneylighting.com/,San Antonio,TX,37
Brite Nites | Holiday & Outdoor Lighting,"501 W Broadway Ste. 800, San Diego, CA 92101, United States",4.9,(619) 331-3547,http://britenites.com/,San Diego,CA,39
San Diego SociaLights,"3906 Park Blvd b, San Diego, CA 92103, United States",4.6,(619) 352-0654,http://www.sdsocialights.com/,San Diego,CA,19
City Lights,"1212 Knoxville St, San Diego, CA 92110, United States",4.5,(619) 275-1006,http://www.citylightscollectibles.com/,San Diego,CA,323
North County Holiday Lights,"1251 Sundown Glen, Escondido, CA 92026, United States",5,(760) 760-7010,http://sdnorthcountyholidaylights.com/,San Diego,CA,2
SD Party Lights,"16776 Bernardo Center Dr #203, San Diego, CA 92128, United States",5,(858) 208-0320,http://www.sdpartylights.com/,San Diego,CA,1
Cool Lights,"849 W Harbor Dr, San Diego, CA 92101, United States",3.3,(210) 639-7746,N/A,San Diego,CA,3
Illuminate Christmas Light Installation - San Diego,"15970 Bernardo Center Dr, San Diego, CA 92127, United States",5,(858) 223-9627,https://christmaslightsandiego.com/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=Google+Business+Profile,San Diego,CA,8
San Diego Christmas Lights,"840 N 4th St, El Cajon, CA 92019, United States",0,(858) 480-5359,N/A,San Diego,CA,0
Merry-tage Court,"11371 MERRITAGE Ct, San Diego, CA 92131, United States",4.8,N/A,N/A,San Diego,CA,65
Coastal Christmas Del Mar,"2260 Jimmy Durante Blvd, Del Mar, CA 92014, United States",3.1,N/A,https://www.coastalchristmasdelmar.com/,San Diego,CA,47
Christmas on Knob Hill,"1639 Knob Hill Rd, San Marcos, CA 92069, United States",4.7,N/A,http://christmasonknobhill.com/,San Diego,CA,158
CLC Christmas Lighting & Decor,"2191 Main St ste m, San Diego, CA 92113, United States",0,(619) 276-9627,http://clc-sd.com/,San Diego,CA,0
Get Lit Seasonal Lighting,"3471 Caminito Sierra UNIT 304, Carlsbad, CA 92009, United States",5,(760) 809-3389,http://getlitseasonallighting.com/,San Diego,CA,8
Club Wyndham Harbour Lights,"911 Fifth Ave, San Diego, CA 92101, United States",4.4,(619) 564-3500,https://www.extraholidays.com/san-diego-california/wyndham-harbour-lights?Identifier=psearch&hotelid=15525&utm_medium=referral&utm_source=google.com-local&utm_campaign=yext&utm_content=wynharbourlights,San Diego,CA,645
Lighting Distinctions,"270 N El Camino Real F-15, Encinitas, CA 92024, United States",5,(760) 635-3341,https://lightingdistinctions.com/?utm_source=gmb&utm_medium=organic,San Diego,CA,96
TAP Lighting,"3690 Sixth Ave, San Diego, CA 92103, United States",4.8,(619) 692-0065,http://www.taplighting.com/,San Diego,CA,90
San Diego City Lights Night Tour,"825 W Harbor Dr, San Diego, CA 92101, United States",3.5,N/A,N/A,San Diego,CA,11
Pro Light Hangers,"1273 Clarendon St, El Cajon, CA 92021, United States",5,(888) 660-2599,http://prolighthangers.com/,San Diego,CA,18
San Diego Holiday Lighting,"120 4th St, Encinitas, CA 92024, United States",0,(760) 277-4485,N/A,San Diego,CA,0
Prairie Lights,"5610 Lake Ridge Pkwy, Grand Prairie, TX 75052, United States",4.2,(972) 237-4569,http://prairielights.org/,Dallas,TX,1750
Xmas Light Co,"8019 Military Pkwy, Dallas, TX 75227, United States",4.3,(214) 515-9627,http://www.xmaslightco.com/,Dallas,TX,32
"Holiday Eaves Lighting & Accessories, LLC","11272 Leo Ln, Dallas, TX 75229, United States",0,(720) 934-7007,https://www.holidayeaveslighting.com/contact-us/,Dallas,TX,0
Jolly Holiday Lights,"4018 David Dr, Rowlett, TX 75088, United States",4.7,(469) 671-9503,https://www.jollyholidaylights.com/,Dallas,TX,19
JellyFish Lighting,"2225 E Belt Line Rd, Carrollton, TX 75006, United States",4.6,(214) 501-0329,https://jellyfishlighting.com/,Dallas,TX,252
Frosty's Holiday Lighting LLC,"11410 Mathis Ave, Farmers Branch, TX 75234, United States",5,(972) 267-3719,http://www.frostysholidaylightingllc.com/,Dallas,TX,12
Higher Ground Christmas Lights,"3225 Southwestern Blvd Suite 100, Dallas, TX 75225, United States",5,(214) 531-3369,https://highergroundlm.com/dallas-christmas-light-installation/,Dallas,TX,6
Certified Lights,"10221 Corkwood Rd STE 100, Dallas, TX 75238, United States",5,(972) 512-0000,https://certifiedlights.com/,Dallas,TX,14
North Dallas Christmas Lights,"11259 Goodnight Ln, Dallas, TX 75229, United States",5,(469) 354-4561,http://www.northdallaschristmaslights.com/,Dallas,TX,3
Holiday Warehouse,"2819 W 15th St, Plano, TX 75075, United States",4.2,(469) 814-0802,http://www.holidaywarehouse.com/,Dallas,TX,411
Lights by Veterans,"11109 Joaquin Dr, Dallas, TX 75228, United States",5,(469) 900-5656,N/A,Dallas,TX,13
Discount LED Lights and Signs,"11261 Harry Hines Blvd # A120, Dallas, TX 75229, United States",4.5,(833) 347-2533,https://discountled.us/,Dallas,TX,59
DFW Holiday Kings - Lighting Installers,"807 Oak St, McKinney, TX 75069, United States",5,(817) 776-5055,https://www.dfwholidaykings.com/,Dallas,TX,2
Willow Glen Holiday Lights,"1005 Cherry Ave, San Jose, CA 95125, United States",4.6,N/A,N/A,San Jose,CA,10
Bobby and Genée Holiday Lights,"259 Kaybe Ct, San Jose, CA 95139, United States",5,(408) 833-2096,https://www.facebook.com/bobbyandgeneeholidaylights,San Jose,CA,2
The Holiday Light Pros,"47635 Lakeview Blvd, Fremont, CA 94538, United States",5,(408) 900-2811,http://www.theholidaylightpros.com/,San Jose,CA,65
"Holiday Inn San Jose - Silicon Valley, an IHG Hotel","1350 N First St, San Jose, CA 95112, United States",3.9,(408) 453-6200,https://www.ihg.com/holidayinn/hotels/us/en/san-jose/sjccc/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-SJCCC,San Jose,CA,1968
Bay Area Event Lights,"60 Dillon Ave, Campbell, CA 95008, United States",5,(408) 502-7229,http://bayareaeventlights.com/,San Jose,CA,1
Exhibition Lighting,"350 S 1st St, San Jose, CA 95113, United States",2.6,N/A,N/A,San Jose,CA,5
Christmas In The Park,"194 South Market Street Drive Thru:, 799 Phelan Ave, San Jose, CA 95113, United States",4.4,(408) 271-9627,http://www.christmasinthepark.com/,San Jose,CA,2503
Wright Lighting and Fireside,"1572 Meridian Ave, San Jose, CA 95125, United States",4.4,(408) 979-0800,https://www.wrightlighting.com/,San Jose,CA,46
Fantasy Lighting Company,"125 E Sunnyoaks Ave suite 206, Campbell, CA 95008, United States",0,(844) 405-4448,http://fantasylightingcompany.com/web,San Jose,CA,0
Morgan Hill Holiday Lights,"620 San Pedro Ave, Morgan Hill, CA 95037, United States",5,(408) 723-8486,N/A,San Jose,CA,2
Illumn,"760 Charcot Ave, San Jose, CA 95131, United States",4.5,(408) 800-1051,http://www.illumn.com/,San Jose,CA,71
Lights on California,"948 California Ave, San Jose, CA 95125, United States",5,N/A,https://www.facebook.com/LightsOnCalifornia,San Jose,CA,2
"The Holiday Light Pros, Trimlight Bay Area & The Christmas Light Pros of Tri-Valley","1048 Serpentine Ln STE 308, Pleasanton, CA 94566, United States",0,(408) 900-2811,http://trivalleyxmaslights.com/,San Jose,CA,0
"Holiday Inn Express & Suites San Jose Airport, an IHG Hotel","2080 N First St, San Jose, CA 95131, United States",4.2,(408) 392-0111,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-jose/sjcnf/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-SJCNF,San Jose,CA,315
Brite Nites | Christmas & Holiday Lighting,"6200 Stoneridge Mall Rd #300, Pleasanton, CA 94588, United States",5,(650) 549-9779,http://britenites.com/,San Jose,CA,145
Lite Line Illuminations,"51 University Ave ste d, Los Gatos, CA 95030, United States",4.6,(408) 399-9000,http://www.litelineinc.com/,San Jose,CA,14
Bay Lighting Supply Inc,"979 El Camino Real, Santa Clara, CA 95050, United States",4.6,(408) 261-2199,http://bayls.com/,San Jose,CA,34
"Holiday Inn Express & Suites San Jose – Silicon Valley, an IHG Hotel","2660 Monterey Rd, San Jose, CA 95111, United States",3.9,(408) 930-7219,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-jose/sjces/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-SJCES,San Jose,CA,406
Lights on Monet,"4173 Monet Cir, San Jose, CA 95136, United States",4.7,N/A,N/A,San Jose,CA,3
Christmas Magic,"Park Rd, San Jose, CA 95148, United States",4.1,(925) 587-3644,http://www.christmasmagic.net/,San Jose,CA,16
Fort Worth Parade of Lights,"777 Taylor St #100, Fort Worth, TX 76102, United States",4.3,(817) 336-2787,http://www.fortworthparadeoflights.org/,Fort Worth,TX,32
Fort Worth Lighting,"5107 E California Pkwy, Forest Hill, TX 76119, United States",4.6,(817) 534-8500,http://ftworthlighting.com/,Fort Worth,TX,211
Integra Christmas lights,"1029 Horse Creek Rd #1, Crowley, TX 76036, United States",4.7,(833) 321-9627,http://www.integrachristmaslights.com/,Fort Worth,TX,18
Elf Squad Holiday Lighting,"1668 Fraser Dr, Burleson, TX 76028, United States",5,(817) 688-4220,N/A,Fort Worth,TX,22
Interlochen Christmas Lights,"Westwood Dr, Arlington, TX 76012, United States",4.2,N/A,http://lakeinterlochentx.com/,Fort Worth,TX,562
Diamond Loch Christmas Lights Display,"6300 Diamond Loch N, North Richland Hills, TX 76180, United States",4.9,N/A,N/A,Fort Worth,TX,74
