name,address,rating,phone,website,city,state
Lumina Galleries,"230 West Superior Street Suite LLN, 230 W Superior St #700, Chicago, IL 60654, United States",5,(312) 642-6826,http://www.luminagalleries.com/,Chicago,IL
Active Electrical Supply & Fox Lighting Galleries,"4240 W Lawrence Ave, Chicago, IL 60630, United States",4.7,(773) 282-6300,https://www.foxlightinggalleries.com/,Chicago,IL
Holiday Lights Phoenix,"6505 W Frye Rd # 16, Chandler, AZ 85226, United States",4.9,(480) 531-9780,http://holidaylightsphx.com/,Phoenix,AZ
Holiday Light Co,"720 N Golden Key St C4, Gilbert, AZ 85233, United States",5,(602) 478-9410,https://www.holidaylightco.com/,Phoenix,AZ
H&B Holiday Lighting,"26207 N 83rd Dr, Peoria, AZ 85383, United States",5,(602) 698-9298,https://handbholidaylighting.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,Phoenix,AZ
Glendale Glitters,"N 58th Ave & W Glendale Ave, 5800 W Glenn Dr, Glendale, AZ 85301, United States",4.2,(623) 930-2299,http://www.glendaleaz.com/,Phoenix,AZ
Valley Christmas Lights,"7301 N 16th St Suite 102, Phoenix, AZ 85020, United States",4.7,(602) 932-0765,https://valleychristmaslights.com/?utm_source=gmb&utm_medium=organic&utm_campaign=Phoenix,Phoenix,AZ
Stay Off the Roof,"4602 E Elwood St #5, Phoenix, AZ 85040, United States",4.9,(480) 567-7088,https://stayofftheroof.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=Phoenix,Phoenix,AZ
Magic Touch Holiday Lighting,"3411 E Corona Ave Suite 107, Phoenix, AZ 85040, United States",5,(602) 919-9730,http://www.magictouchlighting.com/,Phoenix,AZ
North Phoenix Lights,"18639 N 1st Ave, Phoenix, AZ 85027, United States",4.4,N/A,http://northphoenixlights.com/,Phoenix,AZ
Holiday Lights Decorating,"2625 E University Dr, Phoenix, AZ 85034, United States",4.2,(602) 692-4668,http://holidaylightsdecorating.com/,Phoenix,AZ
Miracle on 34th Lane Christmas Lights Display,"22415 N 34th Ln, Phoenix, AZ 85027, United States",4.9,N/A,https://m.facebook.com/1452620738140511/,Phoenix,AZ
Cox Family Lights,"8607 E Vía Del Palacio, Scottsdale, AZ 85258, United States",4.8,(480) 204-6397,N/A,Phoenix,AZ
Level 5 Lighting,"221 E Willis Rd Suite 18, Chandler, AZ 85286, United States",5,(602) 643-5922,https://level5lighting.com/,Phoenix,AZ
Arizona Event & Holiday Lighting,"6205 W North Ln, Glendale, AZ 85302, United States",5,(602) 793-5791,https://azeventandholidaylighting.com/,Phoenix,AZ
PHX LIGHT,"10052 W Foothill Dr, Peoria, AZ 85383, United States",0,(623) 400-2034,https://phxlight.com/,Phoenix,AZ
Spirit Lighting,"3914 E Roeser Rd, Phoenix, AZ 85040, United States",5,(602) 535-2600,http://spiritlightingaz.com/,Phoenix,AZ
Phoenix Winter Wonderland,"4237 W State Ave, Phoenix, AZ 85051, United States",4.7,(623) 937-3482,http://phoenixwinterwonderland.com/,Phoenix,AZ
Custom Holiday Lights,"15855 N Greenway Hayden Loop #130, Scottsdale, AZ 85260, United States",5,(480) 675-0151,https://customholidaylights.com/,Phoenix,AZ
The Festival of Lights,"1010 E Marketplace Wy SE, Phoenix, AZ 85048, United States",4.3,(480) 270-4365,http://www.folaz.org/,Phoenix,AZ
AZ Christmas Light Tour Blasian,"2323 E Magnolia St Suit 124, Phoenix, AZ 85034, United States",4.8,(602) 466-3351,https://www.azchristmaslighttour.com/,Phoenix,AZ
Desert Christmas Lighting,"2015 W Union Hills Dr, Phoenix, AZ 85027, United States",5,(602) 691-7931,https://desertchristmaslighting.com/,Phoenix,AZ
LA Holiday Lights,"137 N Larchmont Blvd Suite 109, Los Angeles, CA 90004, United States",4.7,(424) 256-5695,http://www.laholidaylights.com/,Los Angeles,CA
The Lighter Side Event Lighting & Holiday Lighting,"5148 Washington Blvd, Los Angeles, CA 90016, United States",4.8,(310) 338-8000,http://www.specialeventlighting.com/,Los Angeles,CA
Holiday Lighting Los Angeles - A Holiday Lighting Company,"5148 Washington Blvd, Los Angeles, CA 90016, United States",0,(310) 338-8000,https://holidaylightinglosangeles.com/,Los Angeles,CA
Brite Nites | Holiday & Outdoor Lighting,"100 Wilshire Blvd #700, Santa Monica, CA 90401, United States",5,(213) 816-7348,http://britenites.com/,Los Angeles,CA
The Holiday House,"3547 McLaughlin Ave, Los Angeles, CA 90066, United States",4.8,(310) 745-2788,http://marvistaeggcompany.com/,Los Angeles,CA
Lights Up Today,"2711 N Sepulveda Blvd #1004, Manhattan Beach, CA 90266, United States",5,(310) 356-9577,http://www.lightsuptoday.com/,Los Angeles,CA
LA Christmas Light Installers,"13770 Prairie Ave, Hawthorne, CA 90250, United States",4.4,(310) 916-6069,http://www.lachristmaslightinstallers.com/,Los Angeles,CA
Elegant Outdoor Lights,"1947 Kelton Ave, Los Angeles, CA 90025, United States",5,(310) 499-8814,http://www.elegantoutdoorlights.com/,Los Angeles,CA
Holiday Road,"26800 Mulholland Hwy, Calabasas, CA 91302, United States",3.8,(844) 868-0476,https://holidayroadusa.com/,Los Angeles,CA
Yolanda Lights Holiday Christmas Light Display,"7330 Yolanda Ave, Reseda, CA 91335, United States",4.7,(818) 455-6803,N/A,Los Angeles,CA
Hang Ten Holiday Lights,"41 S Chester Ave Suite A2, Pasadena, CA 91106, United States",4.8,(626) 314-6099,https://hangtenholidaylights.com/,Los Angeles,CA
Imagine Lighting Company,"1082 251st St, Harbor City, CA 90710, United States",5,(310) 940-0731,http://www.imagine-lighting.com/,Los Angeles,CA
"Public Art ""Urban Light""","5905 Wilshire Blvd, Los Angeles, CA 90036, United States",4.6,(323) 857-6000,https://collections.lacma.org/node/214966,Los Angeles,CA
Outdoor Christmas light hanging,"11821 Pounds Ave, Whittier, CA 90604, United States",5,(562) 242-8953,N/A,Los Angeles,CA
Holiday Light Installations - Lighting Service,"10621 Bloomfield St #22, Los Alamitos, CA 90720, United States",5,(562) 850-3235,http://www.holidaylightinstallationsco.com/?utm_source=Google&utm_medium=GMB&utm_campaign=GoogleMyBusiness,Los Angeles,CA
The Christmas Light Guys,"19528 Ventura Blvd #100, Tarzana, CA 91356, United States",4,(818) 347-0007,http://www.christmaslightguys.com/contact.html,Los Angeles,CA
Lamps Expo,"323 S La Brea Ave, Los Angeles, CA 90036, United States",4.3,(323) 938-6026,https://www.lampsexpo.com/,Los Angeles,CA
Christmas Brothers,"13826 Prairie Ave, Hawthorne, CA 90250, United States",4.9,N/A,http://www.christmasbrothers.com/,Los Angeles,CA
Miracle on 13th Street,"1700 S 13th St, Philadelphia, PA 19148, United States",4.8,N/A,https://www.facebook.com/themiracleonsouth13thstreet,Philadelphia,PA
Brite Nites,"2929 Arch St Suite 1700, Philadelphia, PA 19104, United States",4.8,(973) 963-2933,http://britenites.com/,Philadelphia,PA
Elves N Ladders,"151 Mercy St, Philadelphia, PA 19148, United States",4.9,(267) 403-5837,http://elvesnladders.com/,Philadelphia,PA
Smedley Christmas Display,"2700 S Smedley St, Philadelphia, PA 19145, United States",4.9,N/A,N/A,Philadelphia,PA
Main Line Christmas Lights,"462 Germantown Pike suite 15, Lafayette Hill, PA 19444, United States",5,(610) 989-2324,https://www.mainlinechristmaslights.com/,Philadelphia,PA
Bright Holiday Lighting,"151 Discovery Dr Suite 112, Colmar, PA 18915, United States",4.3,(215) 357-3058,http://www.brightholidaylighting.com/,Philadelphia,PA
Colonial Drive Lights,"155 Colonial Dr, Langhorne, PA 19047, United States",4.8,N/A,N/A,Philadelphia,PA
Arch Street Lighting,"120 Arch St, Philadelphia, PA 19106, United States",4.8,(215) 925-4660,http://www.archstreetlighting.com/,Philadelphia,PA
Christmas on Kimball,"800 Kimball St, Philadelphia, PA 19147, United States",4.4,(302) 521-0020,N/A,Philadelphia,PA
Holiday Lights PA,"117 Schoolview Ln, Oxford, PA 19363, United States",5,(484) 881-3583,http://www.holidaylightspa.com/,Philadelphia,PA
Light Your Night,"420 N Penn St Suite 2, Spring City, PA 19475, United States",5,N/A,http://www.ihatechristmaslights.com/,Philadelphia,PA
Orman Inc,"2254 Weccacoe Ave, Philadelphia, PA 19148, United States",4.8,(215) 334-1313,http://www.ormaninc.com/,Philadelphia,PA
Details Lighting Inc.,"165-167 Bala Ave, Bala Cynwyd, PA 19004, United States",4.6,(610) 667-9938,http://detailslightinginc.com/,Philadelphia,PA
Christmas Village in Philadelphia,"1500 John F Kennedy Blvd, Philadelphia, PA 19102, United States",4.5,N/A,http://www.philachristmas.com/,Philadelphia,PA
Ignite Christmas Lighting,"9135 Spring Branch Dr UNIT 202, Houston, TX 77080, United States",5,(832) 377-4870,http://www.ignitechristmaslighting.com/,Houston,TX
River Oaks Christmas Lights,"1700 River Oaks Blvd, Houston, TX 77019, United States",4.6,(713) 489-5650,http://www.riveroakschristmaslights.com/,Houston,TX
Bright Lights,"12407 Sowden Rd, Houston, TX 77080, United States",4.2,(281) 377-1055,http://www.brightlightshouston.com/,Houston,TX
Christmas Lights Houston,"1802 Watercrest Dr Central, Houston, TX 77008, United States",4.7,(713) 206-9913,N/A,Houston,TX
Holy Christmas Lights,"18303 Strack Dr, Spring, TX 77379, United States",5,(832) 356-6005,https://www.holychristmaslights.com/,Houston,TX
Christmas Lights of Houston,"9327 N Fitzgerald Way, Missouri City, TX 77459, United States",5,(832) 449-2669,https://christmaslightshoustontx.com/,Houston,TX
Christmas Wonder Lights,"22635 Indian Ridge Dr, Katy, TX 77450, United States",5,(281) 545-7740,https://www.christmaswonderlights.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5585958011659850614,Houston,TX
Astoria Lighting Co - Houston,"600 Century Plaza Dr Suite C-115, Houston, TX 77073, United States",5,(346) 231-0679,https://astorialightingco.com/houston-texas/,Houston,TX
JellyFish Lighting Houston,"1718 N Fry Rd, Houston, TX 77084, United States",4.8,(281) 698-5930,https://jellyfishlighting.com/,Houston,TX
LIGHT,"4202 Richmond Ave., Houston, TX 77027, United States",4.5,(713) 640-5568,http://thelightcompany.net/,Houston,TX
Lighting Inc,"4218 Richmond Ave., Houston, TX 77027, United States",4.3,(713) 623-6500,https://www.lightinginc.com/,Houston,TX
Blingle Premier Lighting,"9909 Harwin Dr. Suite R, Houston, TX 77036, United States",5,(713) 575-2575,https://blingle.com/houston-tx?frlocid=b-120&utm_source=gbp&utm_medium=organic+search,Houston,TX
Heights Lights & Things,"250 Patton St Ste F, Houston, TX 77009, United States",4.7,(713) 861-0607,http://www.theheightslightsandthings.com/,Houston,TX
Certified Christmas Lights,"9311 Hammerly Blvd, Houston, TX 77080, United States",5,(713) 364-2383,http://www.certifiedchristmaslights.com/,Houston,TX
Kingdom Lighting & Services,"2211 Rayford Rd, Spring, TX 77386, United States",4.8,(832) 510-7229,http://www.kingdomls.com/,Houston,TX
LBX Lighting - Chandelier and Light Bulb Express,"3211 Fondren Rd, Houston, TX 77063, United States",4.9,(713) 529-0250,https://www.lbxlighting.com/,Houston,TX
Majestic Landscape Lighting Design & Lighting Installation,"875 N Eldridge Pkwy #356, Houston, TX 77079, United States",5,(888) 885-2653,http://majesticlightdesign.com/,Houston,TX
Lone Star Christmas Lighting,"24800 I-45 Ste 312, The Woodlands, TX 77386, United States",5,(346) 382-8132,http://www.christmaslightsofhouston.com/,Houston,TX
Winter Holiday Christmas Light Show,"20910 Bayeux Ln, Spring, TX 77388, United States",4.4,N/A,https://www.youtube.com/user/aggiebrew95,Houston,TX
Lighting Plus Inc,"3627 Fondren Rd, Houston, TX 77063, United States",4.5,(713) 784-2440,https://lightingplus.com/,Houston,TX
Cool Lights,"1300 W Sam Houston Pkwy S Suite 100 #209, Houston, TX 77042, United States",5,(833) 260-4499,http://coollight.co/,Houston,TX
Lights Alive! Drive Thru Christmas Lights (Houston),"12300 N Fwy Service Rd, Houston, TX 77060, United States",4.4,N/A,http://seelightsalive.com/,Houston,TX
The Light Park - Katy,"555 Katy Fort Bend Rd Parking Lot, Katy, TX 77494, United States",4.4,N/A,https://www.thelightpark.com/,Houston,TX
Enchanted Lights Halloween Drive Thru (Houston),"12300 N Fwy Service Rd, Houston, TX 77060, United States",4.9,N/A,http://enchantedlights.com/,Houston,TX
Elite Lighting Designs Inc.,"8442 Gault Ln, San Antonio, TX 78209, United States",4.9,(210) 573-0594,https://elitelightingdesigns.com/,San Antonio,TX
Norland Street Christmas Lights,"13511 Norland St, San Antonio, TX 78232, United States",4.7,N/A,N/A,San Antonio,TX
Astoria Lighting Co - San Antonio,"2638 Kerrybrook Ct Suite 104, San Antonio, TX 78230, United States",5,(726) 800-6843,https://astorialightingco.com/,San Antonio,TX
Old West Christmas Light Fest,"242 TX-46 Unit C, Boerne, TX 78006, United States",4,(830) 215-0686,https://christmaslightfest.com/,San Antonio,TX
Lightscape,"555 Funston Pl, San Antonio, TX 78209, United States",3.1,N/A,https://www.sabot.org/light-scape/,San Antonio,TX
Outdoor Lighting Company San Antonio,"20403 Encino Ledge #591263, San Antonio, TX 78259, United States",5,(210) 602-7100,http://www.olcpro.com/,San Antonio,TX
Lighting Inc.,"2802 N Loop 1604 W, San Antonio, TX 78248, United States",4.2,(210) 541-8500,https://www.lightinginc.com/,San Antonio,TX
Windcrest Light Up,"Windcrest, TX 78239, United States",4.5,(210) 655-0022,https://www.sanantoniothingstodo.com/christmas-lights-in-windcrest-san-antonio-holiday-light-up/,San Antonio,TX
Lights Alive,"6815 Roft Rd, San Antonio, TX 78253, United States",4.9,N/A,https://seelightsalive.com/,San Antonio,TX
The Perfect Light,"943 Clydeville Rd, San Antonio, TX 78216, United States",4.8,(210) 920-7777,https://theperfectlight.com/,San Antonio,TX
Elf Acres Christmas light park,"1475 Grosenbacher Rd, San Antonio, TX 78245, United States",4.4,N/A,https://www.elfacres.com/,San Antonio,TX
Hudson Street Lighting San Antonio,"10707 Lake Path Dr, San Antonio, TX 78217, United States",5,(210) 571-1411,https://hudsonstreetlighting.com/locations/texas/san-antonio-outdoor-lighting-company/,San Antonio,TX
"Holiday Inn San Antonio-Riverwalk, an IHG Hotel","217 N St Mary's St, San Antonio, TX 78205, United States",4.2,(210) 224-2500,https://www.ihg.com/holidayinn/hotels/us/en/san-antonio/satrw/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-SATRW,San Antonio,TX
Glo Geeks Landscape Lighting Installation,"30425 Smithson Valley Rd, San Antonio, TX 78261, United States",5,(210) 893-2356,https://glogeeks.com/?utm_source=organic&utm_medium=gmb,San Antonio,TX
Stevens Lighting,"10215 McCullough Ave, San Antonio, TX 78216, United States",4.5,(210) 344-8400,http://www.stevenslighting.com/,San Antonio,TX
"Holiday Inn Express & Suites San Antonio-Dtwn Market Area, an IHG Hotel","102 El Paso St, San Antonio, TX 78204, United States",3.8,(210) 277-1000,https://www.ihg.com/holidayinnexpress/hotels/us/en/san-antonio/satep/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-SATEP,San Antonio,TX
Turney Lighting & Electric,"2501 Northwest Loop 410 Suite B, San Antonio, TX 78230, United States",3.7,(210) 308-9966,https://www.turneylighting.com/,San Antonio,TX
Dyker Heights Christmas Lights,"1072 80th St 1st. Floor, Brooklyn, NY 11228, United States",4.7,(855) 395-3754,https://www.dykerheightschristmaslights.com/,New York,NY
MR HOLIDAYS LIGHTING,"534 Merrick Rd Suite E, Lynbrook, NY 11563, United States",4.7,(516) 581-9336,http://www.mrholidayslighting.com/,New York,NY
Christmas Lights R Us Of Manhattan,"505 Columbus Ave #793, New York, NY 10024, United States",5,(332) 230-9342,N/A,New York,NY
House of Holiday,"90-02 Atlantic Ave, Ozone Park, NY 11416, United States",4.5,(833) 353-4357,http://www.houseofholiday.com/,New York,NY
Christmas Lights Pros of New York,"344 E 78th St, New York, NY 10075, United States",5,(347) 486-3173,N/A,New York,NY
Christmas in New York - Little Italy,"142 Mulberry St, New York, NY 10013, United States",4.4,(212) 693-1600,https://christmasandcity.com/,New York,NY
Thunder Lighting Supply,"162 Ocean Ave, Lindenhurst, NY 11757, United States",5,(631) 803-9627,https://thunderlightingsupply.com/,New York,NY
Christmas Cottage,"833 7th Ave, New York, NY 10019, United States",4.3,(212) 333-7380,http://christmascottage.com/,New York,NY
Awesome Holiday Lights House,"1102 E 72nd St, Brooklyn, NY 11234, United States",5,N/A,N/A,New York,NY
Riverhead Holiday Light Show,"2549 Splish Splash Dr, Calverton, NY 11933, United States",4.1,(631) 210-6711,http://riverheadlightshow.com/,New York,NY
Foundry Lighting,"225 E 58th St, New York, NY 10022, United States",4.5,(212) 759-9332,https://www.foundrylighting.com/,New York,NY
The Long Island Holiday Lighting Co | Christmas Light Installations,"28 Westminster Ct S, Nesconset, NY 11767, United States",5,(631) 203-6848,https://www.theliholidaylightingcompany.com/,New York,NY
Holiday Lights of Long Island,"6318 Jericho Turnpike, Commack, NY 11725, United States",5,(631) 260-1420,https://holidaylightslongisland.com/,New York,NY
Available Light of New York,"2920 37th Ave, Long Island City, NY 11101, United States",4.5,(718) 707-9670,http://www.alny.net/,New York,NY
We Hang Christmas Lights,"50-47 45th St, Woodside, NY 11377, United States",5,(646) 342-9036,https://www.wehangchristmaslightsny.com/,New York,NY
Blinky's Christmas Lights | Professional Christmas Lights Installation,"Wantagh Ave, Wantagh, NY 11793, United States",5,(516) 214-5488,http://www.blinkyschristmaslights.com/,New York,NY
Hi-Light Lighting & Vanities,"2455 Central Park Ave, Yonkers, NY 10710, United States",4.8,(914) 779-6628,https://hilight.com/,New York,NY
Lendy Electric's Lighting Showroom,"137 Bowery, New York, NY 10002, United States",4.2,(212) 431-3880,N/A,New York,NY
EAST COAST CHRISTMAS LIGHTS,"2045 85th St UNIT 2, North Bergen, NJ 07047, United States",5,(844) 768-8873,http://eastcoastchristmaslights.com/,New York,NY
Christmas Lighting,"225 Adams St, Brooklyn, NY 11201, United States",0,N/A,N/A,New York,NY
Holly Jolly Holiday Hangers,"1750 Washington Dr, Merrick, NY 11566, United States",5,(516) 815-9688,https://www.hollyjollyholidayhangers.com/,New York,NY
Visual Comfort & Co.,"200 Lexington Ave #101, New York, NY 10016, United States",4.7,(212) 725-2500,https://www.visualcomfort.com/manhattan/,New York,NY
Union Square Holiday Market,"E 14th St, New York, NY 10011, United States",4.5,(212) 529-9262,http://www.usqholiday.nyc/,New York,NY
Brite Nites | Holiday & Outdoor Lighting,"501 W Broadway Ste. 800, San Diego, CA 92101, United States",4.9,(619) 331-3547,http://britenites.com/,San Diego,CA
San Diego SociaLights,"3906 Park Blvd b, San Diego, CA 92103, United States",4.6,(619) 352-0654,http://www.sdsocialights.com/,San Diego,CA
City Lights,"1212 Knoxville St, San Diego, CA 92110, United States",4.5,(619) 275-1006,http://www.citylightscollectibles.com/,San Diego,CA
North County Holiday Lights,"1251 Sundown Glen, Escondido, CA 92026, United States",5,(760) 760-7010,http://sdnorthcountyholidaylights.com/,San Diego,CA
SD Party Lights,"16776 Bernardo Center Dr #203, San Diego, CA 92128, United States",5,(858) 208-0320,http://www.sdpartylights.com/,San Diego,CA
Cool Lights,"849 W Harbor Dr, San Diego, CA 92101, United States",3.3,(210) 639-7746,N/A,San Diego,CA
Illuminate Christmas Light Installation - San Diego,"15970 Bernardo Center Dr, San Diego, CA 92127, United States",5,(858) 223-9627,https://christmaslightsandiego.com/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=Google+Business+Profile,San Diego,CA
San Diego Christmas Lights,"840 N 4th St, El Cajon, CA 92019, United States",0,(858) 480-5359,N/A,San Diego,CA
Merry-tage Court,"11371 MERRITAGE Ct, San Diego, CA 92131, United States",4.8,N/A,N/A,San Diego,CA
Coastal Christmas Del Mar,"2260 Jimmy Durante Blvd, Del Mar, CA 92014, United States",3.1,N/A,https://www.coastalchristmasdelmar.com/,San Diego,CA
Christmas on Knob Hill,"1639 Knob Hill Rd, San Marcos, CA 92069, United States",4.7,N/A,http://christmasonknobhill.com/,San Diego,CA
CLC Christmas Lighting & Decor,"2191 Main St ste m, San Diego, CA 92113, United States",0,(619) 276-9627,http://clc-sd.com/,San Diego,CA
Get Lit Seasonal Lighting,"3471 Caminito Sierra UNIT 304, Carlsbad, CA 92009, United States",5,(760) 809-3389,http://getlitseasonallighting.com/,San Diego,CA
Club Wyndham Harbour Lights,"911 Fifth Ave, San Diego, CA 92101, United States",4.4,(619) 564-3500,https://www.extraholidays.com/san-diego-california/wyndham-harbour-lights?Identifier=psearch&hotelid=15525&utm_medium=referral&utm_source=google.com-local&utm_campaign=yext&utm_content=wynharbourlights,San Diego,CA
Lighting Distinctions,"270 N El Camino Real F-15, Encinitas, CA 92024, United States",5,(760) 635-3341,https://lightingdistinctions.com/?utm_source=gmb&utm_medium=organic,San Diego,CA
TAP Lighting,"3690 Sixth Ave, San Diego, CA 92103, United States",4.8,(619) 692-0065,http://www.taplighting.com/,San Diego,CA
San Diego City Lights Night Tour,"825 W Harbor Dr, San Diego, CA 92101, United States",3.5,N/A,N/A,San Diego,CA
Pro Light Hangers,"1273 Clarendon St, El Cajon, CA 92021, United States",5,(888) 660-2599,http://prolighthangers.com/,San Diego,CA
San Diego Holiday Lighting,"120 4th St, Encinitas, CA 92024, United States",0,(760) 277-4485,N/A,San Diego,CA
Prairie Lights,"5610 Lake Ridge Pkwy, Grand Prairie, TX 75052, United States",4.2,(972) 237-4569,http://prairielights.org/,Dallas,TX
Xmas Light Co,"8019 Military Pkwy, Dallas, TX 75227, United States",4.3,(214) 515-9627,http://www.xmaslightco.com/,Dallas,TX
"Holiday Eaves Lighting & Accessories, LLC","11272 Leo Ln, Dallas, TX 75229, United States",0,(720) 934-7007,https://www.holidayeaveslighting.com/contact-us/,Dallas,TX
Jolly Holiday Lights,"4018 David Dr, Rowlett, TX 75088, United States",4.7,(469) 671-9503,https://www.jollyholidaylights.com/,Dallas,TX
JellyFish Lighting,"2225 E Belt Line Rd, Carrollton, TX 75006, United States",4.6,(214) 501-0329,https://jellyfishlighting.com/,Dallas,TX
Frosty's Holiday Lighting LLC,"11410 Mathis Ave, Farmers Branch, TX 75234, United States",5,(972) 267-3719,http://www.frostysholidaylightingllc.com/,Dallas,TX
Higher Ground Christmas Lights,"3225 Southwestern Blvd Suite 100, Dallas, TX 75225, United States",5,(214) 531-3369,https://highergroundlm.com/dallas-christmas-light-installation/,Dallas,TX
Certified Lights,"10221 Corkwood Rd STE 100, Dallas, TX 75238, United States",5,(972) 512-0000,https://certifiedlights.com/,Dallas,TX
North Dallas Christmas Lights,"11259 Goodnight Ln, Dallas, TX 75229, United States",5,(469) 354-4561,http://www.northdallaschristmaslights.com/,Dallas,TX
Holiday Warehouse,"2819 W 15th St, Plano, TX 75075, United States",4.2,(469) 814-0802,http://www.holidaywarehouse.com/,Dallas,TX
Lights by Veterans,"11109 Joaquin Dr, Dallas, TX 75228, United States",5,(469) 900-5656,N/A,Dallas,TX
Discount LED Lights and Signs,"11261 Harry Hines Blvd # A120, Dallas, TX 75229, United States",4.5,(833) 347-2533,https://discountled.us/,Dallas,TX
DFW Holiday Kings - Lighting Installers,"807 Oak St, McKinney, TX 75069, United States",5,(817) 776-5055,https://www.dfwholidaykings.com/,Dallas,TX
Willow Glen Holiday Lights,"1005 Cherry Ave, San Jose, CA 95125, United States",4.6,N/A,N/A,San Jose,CA
Bobby and Genée Holiday Lights,"259 Kaybe Ct, San Jose, CA 95139, United States",5,(408) 833-2096,https://www.facebook.com/bobbyandgeneeholidaylights,San Jose,CA
The Holiday Light Pros,"47635 Lakeview Blvd, Fremont, CA 94538, United States",5,(408) 900-2811,http://www.theholidaylightpros.com/,San Jose,CA
Christmas In The Park,"194 South Market Street Drive Thru:, 799 Phelan Ave, San Jose, CA 95113, United States",4.4,(408) 271-9627,http://www.christmasinthepark.com/,San Jose,CA
Wright Lighting and Fireside,"1572 Meridian Ave, San Jose, CA 95125, United States",4.4,(408) 979-0800,https://www.wrightlighting.com/,San Jose,CA
Bay Area Event Lights,"60 Dillon Ave, Campbell, CA 95008, United States",5,(408) 502-7229,http://bayareaeventlights.com/,San Jose,CA
Illumn,"760 Charcot Ave, San Jose, CA 95131, United States",4.5,(408) 800-1051,http://www.illumn.com/,San Jose,CA
Lights on California,"948 California Ave, San Jose, CA 95125, United States",5,N/A,https://www.facebook.com/LightsOnCalifornia,San Jose,CA
Exhibition Lighting,"350 S 1st St, San Jose, CA 95113, United States",2.6,N/A,N/A,San Jose,CA
"Holiday Inn San Jose - Silicon Valley, an IHG Hotel","1350 N First St, San Jose, CA 95112, United States",3.9,(408) 453-6200,https://www.ihg.com/holidayinn/hotels/us/en/san-jose/sjccc/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-SJCCC,San Jose,CA
Morgan Hill Holiday Lights,"620 San Pedro Ave, Morgan Hill, CA 95037, United States",5,(408) 723-8486,N/A,San Jose,CA
Lights on Monet,"4173 Monet Cir, San Jose, CA 95136, United States",4.7,N/A,N/A,San Jose,CA
Christmas Magic,"Park Rd, San Jose, CA 95148, United States",4.1,(925) 587-3644,http://www.christmasmagic.net/,San Jose,CA
Fort Worth Parade of Lights,"777 Taylor St #100, Fort Worth, TX 76102, United States",4.3,(817) 336-2787,http://www.fortworthparadeoflights.org/,Fort Worth,TX
Fort Worth Lighting,"5107 E California Pkwy, Forest Hill, TX 76119, United States",4.6,(817) 534-8500,http://ftworthlighting.com/,Fort Worth,TX
Integra Christmas lights,"1029 Horse Creek Rd #1, Crowley, TX 76036, United States",4.7,(833) 321-9627,http://www.integrachristmaslights.com/,Fort Worth,TX
